city,country,lat,lon,source,oid,state,comments
Luxembourg,Luxembourg,49.6,6.15,manually from http://www.astro.com/atlas/,769,NULL,NULL
Uppsala,Sweden,59.8667,17.6333,manually from http://www.astro.com/atlas/,770,NULL,NULL
Linkoping,Sweden,58.4167,15.6167,manually from http://www.astro.com/atlas/,771,NULL,NULL
Jonkoping,Sweden,57.7833,14.1833,manually from http://www.astro.com/atlas/,772,NULL,NULL
Boras,Sweden,57.7167,12.9167,manually from http://www.astro.com/atlas/,773,NULL,NULL
Seville,Spain,37.3833,-5.98333,manually from http://www.astro.com/atlas/,774,NULL,NULL
Port Augusta,Australia,-32.5,137.767,manually from http://www.astro.com/atlas/,775,NULL,NULL
Oxford,United Kingdom,51.7667,-1.25,manually from http://www.astro.com/atlas/,776,NULL,NULL
Rochdale,United Kingdom,53.6333,-2.15,manually from http://www.astro.com/atlas/,777,NULL,NULL
Reims,France,49.25,4.03333,manually from http://www.astro.com/atlas/,778,NULL,NULL
Erfurt,Germany,50.9667,11.0167,manually from http://www.astro.com/atlas/,779,NULL,NULL
Kaiserslautern,Germany,49.4333,7.76667,manually from http://www.astro.com/atlas/,780,NULL,NULL
Campbelltown,Australia,-34.0667,150.817,manually from http://www.astro.com/atlas/,781,NULL,NULL
Gold Coast,Australia,-27.9667,153.417,manually from http://www.astro.com/atlas/,782,NULL,NULL
Edmonton,Canada,53.55,-113.467,manually from http://www.astro.com/atlas/,783,AB,NULL
Guangzhou,China,23.1,113.267,manually from http://www.astro.com/atlas/,784,NULL,NULL
Jena,Germany,50.9333,11.5833,manually from http://www.astro.com/atlas/,785,NULL,NULL
Krasnodar,Russia,45.0333,39,manually from http://www.astro.com/atlas/,786,NULL,NULL
Kitchener,Canada,43.45,-80.4833,manually from http://www.astro.com/atlas/,787,ON,NULL
Helsingfors,Finland,60.1667,24.9667,manually from http://www.astro.com/atlas/,788,NULL,NULL
Pekanbaru,Indonesia,-0.35,102.433,manually from http://www.astro.com/atlas/,789,NULL,NULL
Tlaquepaque,Mexico,20.65,-103.317,manually from http://www.astro.com/atlas/,790,NULL,NULL
Brasov,Romania,45.65,25.6167,manually from http://www.astro.com/atlas/,791,NULL,NULL
Seoul,South Korea,37.55,126.967,manually from http://www.astro.com/atlas/,792,NULL,NULL
Taipei,Taiwan,25.05,121.517,manually from http://www.astro.com/atlas/,793,NULL,NULL
Campinas,Brazil,-22.9,-47.05,manually from http://www.astro.com/atlas/,794,NULL,NULL
Florianopolis,Brazil,-27.5833,-48.5333,manually from http://www.astro.com/atlas/,795,NULL,NULL
Besancon,France,47.25,6.03333,manually from http://www.astro.com/atlas/,796,NULL,NULL
Caen,France,49.1833,-0.35,manually from http://www.astro.com/atlas/,797,NULL,NULL
Compiegne,France,49.4167,2.83333,manually from http://www.astro.com/atlas/,798,NULL,NULL
Dijon,France,47.3167,5.01667,manually from http://www.astro.com/atlas/,799,NULL,NULL
Evry,France,48.6333,2.45,manually from http://www.astro.com/atlas/,800,NULL,NULL
Limoges,France,45.8333,1.26667,manually from http://www.astro.com/atlas/,801,NULL,NULL
Marseille,France,43.3,5.4,manually from http://www.astro.com/atlas/,802,NULL,NULL
Montpellier,France,43.6,3.88333,manually from http://www.astro.com/atlas/,803,NULL,NULL
Niort,France,46.3167,-0.45,manually from http://www.astro.com/atlas/,804,NULL,NULL
Orleans,France,47.9167,1.9,manually from http://www.astro.com/atlas/,805,NULL,NULL
Rennes,France,48.0833,-1.68333,manually from http://www.astro.com/atlas/,806,NULL,NULL
Kassel,Germany,51.3167,9.48333,manually from http://www.astro.com/atlas/,807,NULL,NULL
Neckarsulm,Germany,49.2,9.21667,manually from http://www.astro.com/atlas/,808,NULL,NULL
Weingarten,Germany,47.8,9.63333,manually from http://www.astro.com/atlas/,809,NULL,NULL
London,United Kingdom,51.5333,-0.0833333,http://www.infoplease.com/ipa/A0001769.html,810,NULL,NULL
Zeist,Netherlands,52.0833,5.25,manually from http://www.astro.com/atlas/,811,NULL,NULL
Schwarzach,Austria,47.45,9.75,manually from http://www.astro.com/atlas/,812,NULL,NULL
Frauenfeld,Switzerland,47.5667,8.9,manually from http://www.astro.com/atlas/,813,NULL,NULL
Geelong,Australia,-38.1333,144.35,manually from http://www.astro.com/atlas/,814,NULL,NULL
Victoria,Canada,48.4167,-123.367,manually from http://www.astro.com/atlas/,815,NULL,NULL
Puteaux,France,48.8833,2.23333,manually from http://www.astro.com/atlas/,816,NULL,NULL
Schiltigheim,France,48.6,7.75,manually from http://www.astro.com/atlas/,817,NULL,NULL
Braunschweig,Germany,52.2667,10.5167,manually from http://www.astro.com/atlas/,818,NULL,NULL
Klein-Linden,Germany,50.5667,8.63333,manually from http://www.astro.com/atlas/,819,NULL,NULL
Nuremberg,Germany,49.45,11.0667,manually from http://www.astro.com/atlas/,820,NULL,NULL
Ravensburg,Germany,47.7833,9.61667,manually from http://www.astro.com/atlas/,821,NULL,NULL
Villingen,Germany,48.0667,8.46667,manually from http://www.astro.com/atlas/,822,NULL,NULL
Bandung,Indonesia,-6.9,107.6,manually from http://www.astro.com/atlas/,823,NULL,NULL
Nijmegen,Netherlands,51.8333,5.85,manually from http://www.astro.com/atlas/,824,NULL,NULL
Aksa,Russia,50.2667,113.283,manually from http://www.astro.com/atlas/,825,NULL,NULL
Voronezh,Russia,51.6667,39.1667,manually from http://www.astro.com/atlas/,826,NULL,NULL
