	4.20.236.3.rivnet.net
Chicago	tds-telecom.Chicago.cw.net
Chicago	telus-communications.Chicago.cw.net
Chicago	telus-rogers.Chicago.cw.net
Chicago	telus-rogesr.Chicago.cw.net
Chicago	telus-services-inc.Chicago.cw.net
Chicago	voyagernet.Chicago.cw.net
Chicago	williams-communications-inc.Chicago.cw.net
Chicago	xcore2-serial5-0-0-11-0.Chicago.cw.net
Cleveland	acr1-loopback.Cleveland.cw.net
Cleveland	acr2-loopback.Cleveland.cw.net
Cleveland	bar1-loopback.Cleveland.cw.net
Cleveland	bar2-loopback.Cleveland.cw.net
Cleveland	bar5-loopback.Cleveland.cw.net
Cleveland	bar7-loopback.Cleveland.cw.net
Cleveland	communication-options.Cleveland.cw.net
Cleveland	corecomm-inc.Cleveland.cw.net
Cleveland	dt-industries.Cleveland.cw.net
Cleveland	merit-its.Cleveland.cw.net
Cleveland	mikrotec-internet-service.Cleveland.cw.net
Cleveland	net-link-services-inc.Cleveland.cw.net
Cleveland	oarnet.Cleveland.cw.net
Cleveland	pair-networks-inc.Cleveland.cw.net
Cleveland	serviceco-llc.Cleveland.cw.net
Cleveland	voyagernet.Cleveland.cw.net
Copenhagen	b2-bredband.Copenhagen.cw.net
Copenhagen	ycr1-so-0-3-0.Copenhagen.cw.net
Copenhagen	ycr1-so-0-3-1.Copenhagen.cw.net
Copenhagen	ycr1-so-1-0-0.Copenhagen.cw.net
Copenhagen	ycr1-so-2-0-0.Copenhagen.cw.net
Copenhagen	ycr2-so-0-3-0.Copenhagen.cw.net
Copenhagen	ycr2-so-0-3-1.Copenhagen.cw.net
Copenhagen	ycr2-so-1-0-0.Copenhagen.cw.net
Copenhagen	ycr2-so-2-0-0.Copenhagen.cw.net
cpi	ge-0-1-0-ycr1.cpi.cw.net
cpi	ge-0-2-0-ycr1.cpi.cw.net
cpi	ge-1-3-0-zar1.cpi.cw.net
cpi	ge-3-2-0-100-ycr1.cpi.cw.net
cpi	ge-3-3-0-100-ycr1.cpi.cw.net
cpi	so-1-0-0-ycr1.cpi.cw.net
cpi	so-1-0-0-ycr2.cpi.cw.net
cpi	so-2-0-0-ycr1.cpi.cw.net
cpi	sonofon-services-a-s1.cpi.cw.net
CPI	ycr1-so-2-0-0.CPI.cw.net
cpi	ycr2-so-1-0-0.cpi.cw.net
Dallas	aar1-loopback.Dallas.cw.net
Dallas	aar4-loopback.Dallas.cw.net
Dallas	acr1-loopback.Dallas.cw.net
Dallas	acr1-so-2-0-0-0.Dallas.cw.net
Dallas	acr1-sonet2-0-0-0.Dallas.cw.net
Dallas	acr2-as0-0.Dallas.cw.net
Dallas	acr2-as1-0.Dallas.cw.net
Dallas	acr2-loopback.Dallas.cw.net
Dallas	acr2-so-2-0-0.Dallas.cw.net
Dallas	acr2-so-6-0-0.Dallas.cw.net
Dallas	agr1-so-0-0-0.Dallas.cw.net
Dallas	agr1-so-0-0.Dallas.cw.net
Dallas	agr1-so-3-0-0.Dallas.cw.net
Dallas	agr1-so-3-0-0-X.Dallas.cw.net
Dallas	agr1-so-3-1-0.Dallas.cw.net
Dallas	agr1-so-3-1-0-X.Dallas.cw.net
Dallas	agr1-so-6-0-0.Dallas.cw.net
Dallas	agr2-so-0-0-0.Dallas.cw.net
Dallas	agr2-so-3-0-0.Dallas.cw.net
Dallas	agr2-so-3-0-0-X.Dallas.cw.net
Dallas	agr3-loopback.Dallas.cw.net
Dallas	agr3-so-0-0-0.Dallas.cw.net
Dallas	agr3-so-6-0-0.Dallas.cw.net
Dallas	agr4-loopback.Dallas.cw.net
Dallas	agr4-so-0-0-0.Dallas.cw.net
Dallas	agr4-so-6-0-0.Dallas.cw.net
Dallas	america-on-line.Dallas.cw.net
Dallas	avantel-sa.Dallas.cw.net
Dallas	bar3-loopback.Dallas.cw.net
Dallas	bar6-loopback.Dallas.cw.net
Dallas	bar7-loopback.Dallas.cw.net
Dallas	bayou-internet.Dallas.cw.net
Dallas	beyond-the-network-america.Dallas.cw.net
Dallas	border2-fddi-0.Dallas.cw.net
Dallas	bordercore4.Dallas.cw.net
Dallas	cable-and-wireless-internal-isp.Dallas.cw.net
Dallas	cable-and-wireless-peering.Dallas.cw.net
Dallas	chickasaw-telephone.Dallas.cw.net
Dallas	core1.Dallas.cw.net
Dallas	corerouter1.Dallas.cw.net
Dallas	corerouter2.Dallas.cw.net
Dallas	cwusa-mci-worldcom.Dallas.cw.net
Dallas	cwusa-mciworldcom.Dallas.cw.net
Dallas	cybercom.Dallas.cw.net
Dallas	cyberstation-inc.Dallas.cw.net
Dallasdan	acr1-loopback.Dallasdan.cw.net
Dallasdan	acr1-serial2-3-1-0.Dallasdan.cw.net
Dallasdan	acr1-sonet2-2-1-0.Dallasdan.cw.net
Dallasdan	acr1-sonet2-3-1-0.Dallasdan.cw.net
Dallasdan	acr2-loopback.Dallasdan.cw.net
Dallasdan	acr2-serial2-0-0-0.Dallasdan.cw.net
Dallasdan	acr2-sonet2-0-0-0.Dallasdan.cw.net
Dallasdan	cable-and-wireless-peering.Dallasdan.cw.net
Dallasdan	cand-w-private-peering.Dallasdan.cw.net
Dallasdan	serviceco-llc.Dallasdan.cw.net
Dallas	dcr1-as0-0.Dallas.cw.net
Dallas	dcr1-as1-0.Dallas.cw.net
Dallas	dcr1-loopback.Dallas.cw.net
Dallas	dcr1-so-0-2-0.Dallas.cw.net
Dallas	dcr1-so-0-2-0-X-gw.Dallas.cw.net
Dallas	dcr1-so-6-0-0.Dallas.cw.net
Dallas	dcr1-so-6-0-0-X.Dallas.cw.net
Dallas	dcr1-so-7-1-0.Dallas.cw.net
Dallas	dcr2-as0-0.Dallas.cw.net
Dallas	dcr2-as1-0.Dallas.cw.net
Dallas	dcr2-loopback.Dallas.cw.net
Dallas	dcr2-so-0-2-0.Dallas.cw.net
Dallas	dcr2-so-1-3-0.Dallas.cw.net
Dallas	dcr2-so-1-3-0-X-gw.Dallas.cw.net
Dallas	dcr2-so-6-0-0.Dallas.cw.net
Dallas	dcr2-so-7-1-0.Dallas.cw.net
Dallas	dcr2-so-7-1-0-X.Dallas.cw.net
Dallas	earthlink-inc.Dallas.cw.net
Dallas	ethos-communications.Dallas.cw.net
Dallas	focal-communications-corp.Dallas.cw.net
Dallas	iar1-loopback.Dallas.cw.net
Dallas	iar2-loopback.Dallas.cw.net
Dallas	iar3-loopback.Dallas.cw.net
Dallas	internet-america.Dallas.cw.net
Dallas	taylor-communications.Dallas.cw.net
Dallas	williams-communications-inc.Dallas.cw.net
Dallas	wiltel-communications-group-inc.Dallas.cw.net
dc	att-gw.dc.cw.net
dcx	dfn-gw-ies1.dcx.cw.net
dcx	ge-1-0-0-zpr2.dcx.cw.net
dcx	ge-1-2-0-zpr1.dcx.cw.net
dcx	otein1.dcx.cw.net
dcx	otein2.dcx.cw.net
dcx	so-0-0-0-zpr2.dcx.cw.net
dcx	so-2-2-0-zpr1.dcx.cw.net
dcx	so-3-0-0-zpr1.dcx.cw.net
de	agilent-gw-STG1.de.cw.net
de	bccgmbh-gw-BWG.de.cw.net
de	bccgmbh-gw-HBG2.de.cw.net
de	bmw4-gw.de.cw.net
de	concepta-gw2-ESN.de.cw.net
de	cronon-gw-MUC1.de.cw.net
de	dfn-gw-DCX.de.cw.net
de	dpa-gw-HBG2.de.cw.net
de	fe0-0-0-r1-STG1.de.cw.net
de	fe0-1-0-r2-MAE.de.cw.net
de	fe1-0-0-r1-DUS2.de.cw.net
de	fe-1-1-2-r2-DCX.de.cw.net
de	fe12-1-0-r1-HBG2.de.cw.net
de	fe4-0-bmw2-gw.de.cw.net
de	fe4-0-r1-DCX.de.cw.net
de	fe4-1-r4-MUC1.de.cw.net
de	fe5-0-0-r1-FFM1.de.cw.net
de	fe5-1-0-r6-MUC1.de.cw.net
de	fe6-0-r1-WIE.de.cw.net
de	fe8-0-0-r1-FFM1.de.cw.net
de	fe8-1-0-r6-MUC1.de.cw.net
de	fe9-1-0-r1-MUC1.de.cw.net
de	ge-0-0-0-100-arj3-MUC1.de.cw.net
de	ge-0-0-0-100-arj4-MUC1.de.cw.net
de	ge-0-0-0-100-crj1-FFM1.de.cw.net
de	ge-0-0-0-200-crj2-HBG2.de.cw.net
de	ge-0-0-0-arj3-MUC1.de.cw.net
de	ge-0-0-0-crj1-DUS1.de.cw.net
de	ge0-0-bb1-MUC1.de.cw.net
de	ge0-0-bb2-MUC1.de.cw.net
de	ge-0-1-0-arj2-MUC1.de.cw.net
de	ge-0-1-0-crj1-FFM1.de.cw.net
de	ge-0-1-0-crj2-FFM1.de.cw.net
de	ge-0-3-0-r2-DCX.de.cw.net
de	ge-1-0-0-200-arj2-MUC1.de.cw.net
de	ge-1-0-0-200-arj3-MUC1.de.cw.net
de	ge-1-0-0-200-crj2-DUS1.de.cw.net
de	ge-1-0-0-200-crj2-FFM1.de.cw.net
de	ge-1-0-0-56-crj2-MUC1.de.cw.net
de	ge-1-0-0-arj1-FFM1.de.cw.net
de	ge-1-0-0-arj3-MUC1.de.cw.net
de	ge-1-0-0-crj1-DUS1.de.cw.net
de	ge-1-0-0-r2-DCX.de.cw.net
de	ge11-0-bb1-FFM1.de.cw.net
de	ge-1-2-0-100-crj2-DUS1.de.cw.net
de	ge-1-2-0-r2-DCX.de.cw.net
de	ge1-2-0-r2-DCX.de.cw.net
de	ge-2-0-0-zpr2.dcx.de.cw.net
de	ge-7-0-0-crj2-FFM1.de.cw.net
de	ge9-0-200-bb2-FFM1.de.cw.net
de	ge9-0-bb1-FFM1.de.cw.net
de	ge9-0-bb2-FFM1.de.cw.net
de	gmx-gw2-MUC1.de.cw.net
de	insat-gw-SBN.de.cw.net
de	intergenia-gw-DCX.de.cw.net
de	knipp-gw-DTM.de.cw.net
de	macrotron-gw-MUC1.de.cw.net
de	mnet-MUC1.de.cw.net
de	nefkom-gw-NBG1.de.cw.net
de	nextra-cz-gateway-DCX.de.cw.net
Denver	aar1.Denver.cw.net
Denver	acr1.Denver.cw.net
Denver	acr2.Denver.cw.net
Denver	avista-communications-western-tech.Denver.cw.net
Denver	bar1.Denver.cw.net
Denver	border2-fddi-0.Denver.cw.net
Denver	border6-fddi-0.Denver.cw.net
Denver	border7-fddi-0.Denver.cw.net
Denver	border8-serial3-4-0.Denver.cw.net
Denver	bordercore4.Denver.cw.net
Denver	core1.Denver.cw.net
Denver	core2.Denver.cw.net
Denver	core2-fddi-1.Denver.cw.net
Denver	data393.Denver.cw.net
Denverden	acr1.Denverden.cw.net
Denverden	acr2.Denverden.cw.net
Denverden	iar2.Denverden.cw.net
Denverden	touch-america.Denverden.cw.net
Denverden	ucar.Denverden.cw.net
Denver	iar1.Denver.cw.net
Denver	iar2.Denver.cw.net
Denver	internap.Denver.cw.net
Denver	magic-internet-service.Denver.cw.net
Denver	matt-tech-inc.Denver.cw.net
Denver	mile-high-on-line.Denver.cw.net
Denver	navinet.Denver.cw.net
Denver	rockynet.Denver.cw.net
Denver	touch-america.Denver.cw.net
Denver	ucar.Denver.cw.net
de	otein-gw-dcx.de.cw.net
de	pantel-gw1-FFM1.de.cw.net
de	pos1-0-bb1-FFM1.de.cw.net
de	pos1-0-bb1-MUC1.de.cw.net
de	pos1-0-bb2-FFM1.de.cw.net
de	pos1-1-0-r1-SBN.de.cw.net
de	pos2-0-bb2-FFM1.de.cw.net
de	pos2-0-r1-ACH.de.cw.net
de	pos2-0-r1-DTM.de.cw.net
de	pos2-0-r1-KLN1.de.cw.net
de	pos2-1-r1-BWG.de.cw.net
de	pos3-0-0-r2-ESN.de.cw.net
de	pos4-1-0-r1-SBN.de.cw.net
de	pos5-0-0-r1-KAR.de.cw.net
de	pos5-0-0-r2-LPZ.de.cw.net
de	pos9-0-0-r2-ESN.de.cw.net
de	primacom-gw-LPZ.de.cw.net
de	primacom-r2-LPZ.de.cw.net
de	ps-gw1-DUS2.de.cw.net
de	sapwa-gw-DCX.de.cw.net
de	sni-m1-MUC1.de.cw.net
de	so-0-0-0-crj1-DUS2.de.cw.net
de	so0-0-0-crj1-DUS2.de.cw.net
de	so-0-0-0-crj1-HVR.de.cw.net
de	so-0-1-0-crj1-DUS1.de.cw.net
de	so-0-1-0-crj1-HBG2.de.cw.net
de	so-0-1-0-crj1-NBG1.de.cw.net
de	so-0-2-0-arj2-MUC1.de.cw.net
de	so-0-2-0-crj1-DCX.de.cw.net
de	so-0-2-0-crj1-LPZ1.de.cw.net
de	so-1-2-0-crj1-STG1.de.cw.net
de	so-1-2-0-crj2-MUC1.de.cw.net
de	so-6-0-0-crj1-MUC1.de.cw.net
de	so-6-0-0-crj2-MUC1.de.cw.net
de	stratorechenzentrum-gw-FFM1.de.cw.net
de	unimainz-gw-DCX.de.cw.net
de	ventelo-gw-DUS2.de.cw.net
de	vodafoned2-DUS1.de.cw.net
de	webde-gw-FFM1.de.cw.net
de	webde-gw-KAR.de.cw.net
dub	irishbb-gw-ycr1.dub.cw.net
dub	so-0-0-0-ycr1.dub.cw.net
dus	so-3-0-0-zcr1.dus.cw.net
dus	so-3-0-0-zcr2.dus.cw.net
edi	pos-12-0-0-kar1.edi.cw.net
ElkGrovech	bhr1-pos-0-0.ElkGrovech3.cw.net
ElkGrovech	csr2-ve240.ElkGrovech3.cw.net
Elsegundola	csr11-ve240.Elsegundola1.cw.net
Elsegundola	csr11-ve241.Elsegundola1.cw.net
Elsegundola	csr11-ve242.Elsegundola1.cw.net
Elsegundola	csr12-ve240.Elsegundola1.cw.net
Elsegundola	csr12-ve241.Elsegundola1.cw.net
Elsegundola	csr1-ve242.Elsegundola1.cw.net
Elsegundola	csr2-ve240.Elsegundola1.cw.net
Elsegundola	csr2-ve242.Elsegundola1.cw.net
Elsegundola	dhr1-ge-2-0.Elsegundola1.cw.net
Elsegundola	dhr1-ge-6-0.Elsegundola1.cw.net
Elsegundola	dhr1-pos-0-0.Elsegundola1.cw.net
Elsegundola	dhr2-pos-0-0.Elsegundola1.cw.net
essen-dsl	gi0-1.essen-dsl3.e.net.kamp.net
essen	gi3-1.essen0.e.net.kamp.net
eu	atm0-0-0-1-r1-ZRH.eu.cw.net
eu	core1-so-0-0-1.BAP.eu.cw.net
eu	fe0-3-0-0-core1-MAD.eu.cw.net
eu	fe1-0-0-1-r1-BAP.eu.cw.net
eu	fe1-0-0-2-r3-MAD.eu.cw.net
eu	fe1-0-0-2-r7-MAD.eu.cw.net
eu	gw-firstmark.eu.cw.net
eu	gw-improware.eu.cw.net
eu	gw-prisacom.eu.cw.net
eu	gw-wsi-sylvan.eu.cw.net
eu	r1-pos-0-0-0.BIL.eu.cw.net
eu	tr1-r3-ZRH.eu.cw.net
fddi	mae-west3.fddi.cw.net
fl.bchs	ubr01-p1-0.bchshe1.fl.attbb.net
fl.bclr	bar01-p8-0-0.bclrhe1.fl.attbb.net
fl.crgl	ubr01-p2-0.crglhe1.fl.attbb.net
fl.dave	ubr02-f-0-0.davehe2.fl.attbb.net
fl.dfbh	ubr01-p2-0.dfbhhe1.fl.attbb.net
fl.drwd	ubr01-p1-0.drwdhe1.fl.attbb.net
fl.flmg	ubr01-p2-0.flmghe1.fl.attbb.net
fl.ftcl	bar01-p5-0-0.ftclhe1.fl.attbb.net
fl.ftcl	ubr02-f1-0.ftclhe1.fl.attbb.net
fl.hlse	ubr02-p1-0.hlsehe1.fl.attbb.net
fl.kern	bar01-p3-0-0.kernhe1.fl.attbb.net
fl.kern	bar01-p5-0-0.kernhe1.fl.attbb.net
fl.ldhe	ubr01-p1-0.ldhehe1.fl.attbb.net
fl.ldhw	ubr01-p2-0.ldhwhe1.fl.attbb.net
fl.mdrn	bar01-p8-0-0.mdrnhe1.fl.attbb.net
fl.miam	bar01-p-4-1.miamhe1.fl.attbb.net
fl.miam	ubr01-f-1-0.miamhe1.fl.attbb.net
fl.mrdn	ubr02-p1-0.mrdnhe1.fl.attbb.net
fl.mrgt	bar01-g-0-11.mrgthe1.fl.attbb.net
fl.mrgt	ubr01-f-0-0.mrgthe1.fl.attbb.net
fl.nmdy	ubr01-p2-0.nmdyhe1.fl.attbb.net
fl.orpk	bar01-p5-0-0.orpkhe1.fl.attbb.net
fl.orpk	bar01-p8-0-0.orpkhe1.fl.attbb.net
fl.orpk	ubr01-f1-0.orpkhe1.fl.attbb.net
fl.plne	bar01-p1-1.plnehe1.fl.attbb.net
fl.plnw	bar01-p4-1.plnwhe1.fl.attbb.net
fl.plnw	ubr01-f1-0.plnw.fl.attbb.net
fl.pmbh	bar01-p-3-1.pmbhhe1.fl.attbb.net
fl.pmbh	bic01-p3-1.pmbhhe1.fl.attbb.net
fl.pmbh	btr01-d6-0.pmbhhe1.fl.attbb.net
fl.pmbh	btr01-p-1-2.pmbhhe1.fl.attbb.net
fl.pmbh	btr03-p-1-0.pmbhhe1.fl.attbb.net
fl.pmbh	btr03-p-1-1.pmbhhe1.fl.attbb.net
fl.pmbh	ubr01-p2-0.pmbhhe1.fl.attbb.net
fl.ptvd	bar01-p5-0-0.ptvdhe1.fl.attbb.net
fl.snre	ubr01-p2-0.snrehe1.fl.attbb.net
fl.snrw	ubr01-p2-0.snrwhe1.fl.attbb.net
fl.stsd	bic02-d0-0.stsdrdc1.fl.attbb.net
fl.stsd	btr01-d0-0.stsdrdc1.fl.attbb.net
fl.stsd	btr02-d0-0.stsdrdc1.fl.attbb.net
fl.stsd	ubr01-p2-0.stsdhe1.fl.attbb.net
fl.stsd	ubr02-p2-0.stsdhe1.fl.attbb.net
fl.tmqn	bar01-p8-0-0.tmqnhe1.fl.attbb.net
fl.wstn	ubr01-p2-0.wstnhe1.fl.attbb.net
fl.wtsd	bar01-p5-0-0.wtsdhe1.fl.attbb.net
fl.wtsd	bar01-p8-0-0.wtsdhe1.fl.attbb.net
fl.wtsd	btr01-p2-0.wtsdhe1.fl.attbb.net
fl.wtsd	btr02-p1-0.wtsdhe1.fl.attbb.net
fl.wtsd	btr02-p2-0.wtsdhe1.fl.attbb.net
fra	as0-dcr2.fra.cw.net
fra	bcr2.fra.cw.net
fra	bcr3.fra.cw.net
fra	fastweb-gw.fra.cw.net
fra	ge-0-1-0-bcr2.fra.cw.net
fra	ge-0-3-0-bcr3.fra.cw.net
fra	ge-0-3-0-iar1.fra.cw.net
fra	ge-1-3-0-bcr3.fra.cw.net
Frankfurt	america-on-line.Frankfurt.cw.net
Frankfurt	bcr1.Frankfurt.cw.net
Frankfurt	bcr1-so-0-2-0.Frankfurt.cw.net
Frankfurt	bcr1-so-0-3-0.Frankfurt.cw.net
Frankfurt	bcr1-so-1-2-0.Frankfurt.cw.net
Frankfurt	bcr1-so-2-0-0.Frankfurt.cw.net
Frankfurt	bcr1-so-3-0-0.Frankfurt.cw.net
Frankfurt	bcr1-so-7-0-0-0.Frankfurt.cw.net
Frankfurt	bcr1-so-7-0-0-1.Frankfurt.cw.net
Frankfurt	bcr2.Frankfurt.cw.net
Frankfurt	bcr2-so-0-2-0.Frankfurt.cw.net
Frankfurt	bcr2-so-0-3-0.Frankfurt.cw.net
Frankfurt	bcr2-so-2-0-0.Frankfurt.cw.net
Frankfurt	bcr2-so-6-0-0.Frankfurt.cw.net
Frankfurt	cable-and-wireless-ecrc-gmbh.Frankfurt.cw.net
Frankfurt	cableandwireless-europe.Frankfurt.cw.net
Frankfurt	cable-and-wireless-internal-isp.Frankfurt.cw.net
Frankfurt	cable-and-wireless-peering.Frankfurt.cw.net
Frankfurt	car1.Frankfurt.cw.net
Frankfurt	closed-joint-stock-company-mtu-intel.Frankfurt.cw.net
Frankfurt	czech-telecom.Frankfurt.cw.net
Frankfurt	eunet-edv.Frankfurt.cw.net
Frankfurtfix	arcor-ag-and-co.Frankfurtfix.cw.net
Frankfurtfix	cable-and-wireless-peering.Frankfurtfix.cw.net
Frankfurtfix	plusline-ag.Frankfurtfix.cw.net
Frankfurtfix	zpr1-ge-0-3-0.Frankfurtfix.cw.net
Frankfurtfix	zpr1-ge-1-3-0.Frankfurtfix.cw.net
Frankfurtfri	zar1-fe-3-1-3.Frankfurtfri.cw.net
Frankfurtfri	zar1-ge-0-3-0.Frankfurtfri.cw.net
Frankfurtfri	zcr1-ge-2-0-0.Frankfurtfri.cw.net
Frankfurtfri	zcr1-ge-2-1-0.Frankfurtfri.cw.net
Frankfurtfri	zcr1-so-1-0-0.Frankfurtfri.cw.net
Frankfurtfri	zcr1-so-7-0-0.Frankfurtfri.cw.net
Frankfurtfri	zcr2-ge-2-0-0.Frankfurtfri.cw.net
Frankfurtfri	zcr2-ge-2-1-0.Frankfurtfri.cw.net
Frankfurtfri	zcr2-so-0-0-0.Frankfurtfri.cw.net
Frankfurtfri	zcr2-so-1-0-0.Frankfurtfri.cw.net
Frankfurtfri	zcr2-so-7-0-0.Frankfurtfri.cw.net
Frankfurt	ge-7-0-0-crj1-ffm1.Frankfurt.cw.net
Frankfurt	iar1.Frankfurt.cw.net
Frankfurt	iar1-loopback.Frankfurt.cw.net
Frankfurt	ojsc-kazakhtelecom.Frankfurt.cw.net
Frankfurt	telekom-srbija-ad.Frankfurt.cw.net
Frankfurt	zcr2-so-1-0-0.Frankfurt.cw.net
fr	as0-0.junmtp2.fr.cw.net
fr	as0.jundef1.fr.cw.net
fr	as0.junmtp1.fr.cw.net
fr	as0.junvil1.fr.cw.net
fra	so-0-0-0-dcr1.fra.cw.net
fra	so-0-0-0-dcr2.fra.cw.net
fra	so-1-2-0-dcr1.fra.cw.net
fra	so-1-2-0-dcr2.fra.cw.net
fra	so-1-3-0-dcr1.fra.cw.net
fra	so-1-3-0-dcr2.fra.cw.net
fra	so-2-0-0-bcr1.fra.cw.net
fra	so-4-0-0-bcr1.fra.cw.net
fra	so-4-0-0-bcr2.fra.cw.net
fra	so-5-0-0-bcr1.fra.cw.net
fra	so-5-0-0-bcr2.fra.cw.net
fra	so-7-0-0-0-bcr1.fra.cw.net
fra	so-7-0-0-0-bcr2.fra.cw.net
fra	so-7-0-0-1-bcr1.fra.cw.net
fr	at110-1.junvil1.fr.cw.net
fr	f00-150.bas-mtp-3.fr.cw.net
fr	f00.mtp2.fr.cw.net
fr	f00.mtp3.fr.cw.net
fr	f00.vil2.fr.cw.net
fr	f10.bas-mtp-3.fr.cw.net
fr	f20-150.bas-mtp-2.fr.cw.net
fr	fe01-pictime-gw.fr.cw.net
fr	g500.mtp-1.fr.cw.net
fr	ge000-1.junmtp2.fr.cw.net
fr	ge000-1.junvil1.fr.cw.net
fr	ge000-1.junvil2.fr.cw.net
fr	ge000-juntel-2.fr.cw.net
fr	ge010-4.junsat1.fr.cw.net
fr	ge020-0.jundef2.fr.cw.net
fr	ge-020.junvit2.fr.cw.net
fr	ge100-0.junmtp1.fr.cw.net
fr	ge11.bivit1.fr.cw.net
fr	ge11.bivit2.fr.cw.net
fr	ge130-juntel-2.fr.cw.net
fr	h401.mrs-te.fr.cw.net
fri	bccgmbh1.fri.cw.net
fri	ge-3-2-0-zar1.fri.cw.net
fri	gtsda-gw.fri.cw.net
fri	plusline1.fri.cw.net
fri	so-6-0-0-zar1.fri.cw.net
fri	tdc-fr1.fri.cw.net
fr	mtp-3.fr.cw.net
fr	p40.vit1.fr.cw.net
fr	pos10.lil-te.fr.cw.net
fr	pos110.tel-te.fr.cw.net
fr	ppp3051-cwdsl.fr.cw.net
fr	s50.tel2-1.fr.cw.net
fr	so010-0.juntel1.fr.cw.net
fr	so010-juntel-2.fr.cw.net
fr	so-020.junvit2.fr.cw.net
fr	so023-0.junvil2.fr.cw.net
fr	so110.jundef-1.fr.cw.net
fr	so110-junvit-1.fr.cw.net
fr	so-130.jundef1.fr.cw.net
fr	so201.junvil1.fr.cw.net
fr	ttnet-gw8.cust.fr.cw.net
fr	ttnet-gw.cust.fr.cw.net
Geneva	cable-and-wireless-internal-isp.Geneva.cw.net
Geneva	ycr1-so-0-3-0.Geneva.cw.net
Geneva	ycr2-so-0-3-3.Geneva.cw.net
Geneva	zar1-ge-0-3-0-0.Geneva.cw.net
Houston	acr1.Houston.cw.net
Houston	acr2.Houston.cw.net
Houston	acr2-so-2-2-0.Houston.cw.net
Houston	audio-video.Houston.cw.net
Houston	bar1.Houston.cw.net
Houston	bar2.Houston.cw.net
Houston	border5-fddi-0.Houston.cw.net
Houston	borderx2-fddi-1.Houston.cw.net
Houston	core2.Houston.cw.net
Houston	core2-hssi-2.Houston.cw.net
Houston	duro-communications-dba-crossr.Houston.cw.net
Houston	federal-express-corp.Houston.cw.net
Houstonhob	acr1.Houstonhob.cw.net
Houstonhob	acr2.Houstonhob.cw.net
Houstonhob	acr2-serial6-1-0-0.Houstonhob.cw.net
Houstonhob	acr2-sonet6-1-0-0.Houstonhob.cw.net
Houstonhob	serviceco-llc.Houstonhob.cw.net
Houston	internap.Houston.cw.net
Houston	project-consulting.Houston.cw.net
Houston	texasnet.Houston.cw.net
iad	cw-iad-oc3.iad.cw.net
ins	atm-0-2-0-652-icr1.bir1.ins.cw.net
ins	du169-162.ins.cw.net
ins	f-1-0-0.iar1.edi3.ins.cw.net
ins	fe-0-0-0-iar2.lon1.ins.cw.net
ins	fe-0-0.iar1.bir1.ins.cw.net
ins	fe-0-0.iar4.lon3.ins.cw.net
ins	fe-2-0-0-iar2.lon2.ins.cw.net
ins	fe-2-0-iar2.lon4.ins.cw.net
ins	fe-4-0-0.iar4.man1.ins.cw.net
ins	fe-6-0-0.iar3.man1.ins.cw.net
ins	fe-6-0.iar1.lon7.ins.cw.net
ins	fe-8-0-0-iar2.lon3.ins.cw.net
ins	ge-0-0-0.iar2.lon6.ins.cw.net
ins	ge-0-0-0.iar3.lon7.ins.cw.net
ins	ge-10-0-0.iar5.lon7.uk.ins.cw.net
ins	ge-1-0-0.iar2.lon6.ins.cw.net
ins	ge-1-0-0.iar4.lon7.ins.cw.net
ins	ge-4-0.iar1.lon6.ins.cw.net
ins	ge-6-0-0-icr1.lon3.ins.cw.net
ins	ge-6-0-0-icr2.lon2.ins.cw.net
ins	ge-6-1-0.icr1.lon4.ins.cw.net
ins	ge-6-1-0-icr2.lon2.ins.cw.net
ins	ge-6-1-0-icr2.lon4.ins.cw.net
ins	ge-7-1-0-icr1.lon4.ins.cw.net
ins	ge-7-1-0-icr2.lon2.ins.cw.net
ins	ge-7-1-0-icr2.lon4.ins.cw.net
insnet	f-1-0-0-gw5.lon4.uk.insnet.cw.net
insnet	f-1-0-0.iar1.lon5.uk.insnet.cw.net
insnet	fa-6-0-0-iar1.bir1.uk.insnet.cw.net
insnet	fe-6-0-0-iar1.lon2.uk.insnet.cw.net
insnet	ge-0-1-0.ipr1.lon2.uk.insnet.cw.net
insnet	ge-0-1-0.ipr1.lon4.uk.insnet.cw.net
insnet	ge-6-1-0.icr1.lon4.uk.insnet.cw.net
insnet	ge-6-1-0-icr2.lon4.uk.insnet.cw.net
insnet	ge-7-1-0-icr1.lon3.uk.insnet.cw.net
insnet	ge-7-1-0-icr1.lon4.uk.insnet.cw.net
insnet	host-170.uk.insnet.cw.net
insnet	pos-0-0-0-icr1.lon2.uk.insnet.cw.net
insnet	pos-0-0-0.icr2.lon3.uk.insnet.cw.net
insnet	pos-0-1-0.icr1.lon7.uk.insnet.cw.net
insnet	so-1-0-0.icr1.dub1.ie.insnet.cw.net
ins	pos-0-0-0-icr1.lon2.ins.cw.net
ins	pos-0-0-0.icr1.lon6.ins.cw.net
ins	pos-0-0-0.icr2.lon3.ins.cw.net
ins	pos-0-0-0.icr2.lon6.ins.cw.net
ins	pos-0-1-0.icr1.lon7.ins.cw.net
ins	pos-0-3-0-icr2.lon1.ins.cw.net
ins	pos-4-0-0.icr1.edi3.ins.cw.net
ins	pos-9-0-0.iar2.dub1.ins.cw.net
ins	so-0-3-0.icr2.bir1.ins.cw.net
ins	so-1-0-0.icr1.dub1.ie.ins.cw.net
